,url,team_name,team_full_name,team_id,team_logo
0,/flamengo-rio-de-janeiro/startseite/verein/614,Flamengo,Flamengo Rio de Janeiro,614,https://tmssl.akamaized.net/images/wappen/head/614.png
1,/se-palmeiras-sao-paulo/startseite/verein/1023,Palmeiras,SE Palmeiras São Paulo,1023,https://tmssl.akamaized.net/images/wappen/head/1023.png
2,/gremio-foot-ball-porto-alegrense/startseite/verein/210,Gremio,Grêmio Porto Alegre,210,https://tmssl.akamaized.net/images/wappen/head/210.png
3,/fc-sao-paulo/startseite/verein/585,Sao Paulo,FC Sao Paulo,585,https://tmssl.akamaized.net/images/wappen/head/585.png
4,/corinthians-sao-paulo/startseite/verein/199,Corinthians,Corinthians Sao Paulo,199,https://tmssl.akamaized.net/images/wappen/head/199.png
5,/sc-internacional-porto-alegre/startseite/verein/6600,Internacional,SC Internacional Porto Alegre,6600,https://tmssl.akamaized.net/images/wappen/head/6600.png
6,/fc-santos/startseite/verein/221,Santos,FC Santos,221,https://tmssl.akamaized.net/images/wappen/head/221.png
7,/atletico-mineiro/startseite/verein/330,Atletico-MG,Atlético Mineiro,330,https://tmssl.akamaized.net/images/wappen/head/330.png
8,/fluminense-football-club/startseite/verein/2462,Fluminense,Fluminense Rio de Janeiro,2462,https://tmssl.akamaized.net/images/wappen/head/2462.png
9,/vasco-da-gama-rio-de-janeiro/startseite/verein/978,Vasco,Vasco da Gama Rio de Janeiro,978,https://tmssl.akamaized.net/images/wappen/head/978.png
10,/clube-atletico-paranaense/startseite/verein/679,Athletico-PR,Clube Atlético Paranaense,679,https://tmssl.akamaized.net/images/wappen/head/679.png
11,/ec-bahia/startseite/verein/10010,Bahia,Esporte Clube Bahia,10010,https://tmssl.akamaized.net/images/wappen/head/10010.png
12,/clube-atletico-bragantino-sp-/startseite/verein/8793,Bragantino,Clube Atlético Bragantino (SP),8793,https://tmssl.akamaized.net/images/wappen/head/8793.png
13,/botafogo-fr-rio-de-janeiro/startseite/verein/537,Botafogo-RJ,Botafogo FR Rio de Janeiro,537,https://tmssl.akamaized.net/images/wappen/head/537.png
14,/coritiba-fc/startseite/verein/776,Coritiba,Coritiba FC ,776,https://tmssl.akamaized.net/images/wappen/head/776.png
15,/goias-esporte-clube/startseite/verein/3197,Goiás,Goiás Esporte Clube,3197,https://tmssl.akamaized.net/images/wappen/head/3197.png
16,/sport-club-do-recife/startseite/verein/8718,Sport,Sport Club do Recife ,8718,https://tmssl.akamaized.net/images/wappen/head/8718.png
17,/ceara-sporting-club-ce-/startseite/verein/2029,Ceará,Ceará Sporting Club (CE),2029,https://tmssl.akamaized.net/images/wappen/head/2029.png
